source_id,title,category,chunk_id,chunk_text,n_words
KB001,Настройка Python-окружения,environment,0,"В учебной лаборатории каждый проект запускают в отдельном виртуальном окружении. Сначала обновляют pip, затем устанавливают зависимости. Перед экспериментами фиксируют seed для random, numpy и torch, если torch используется. Это повышает воспроизводимость. Если GPU недоступен, ноутбук",35
KB001,Настройка Python-окружения,environment,1,"используется. Это повышает воспроизводимость. Если GPU недоступен, ноутбук все равно должен корректно работать на CPU. В отчете обязательно указывают версии Python и ключевых библиотек.",24
KB002,Структура репозитория и Git,git,0,"Все домашние работы лежат внутри папки homeworks. Для HW14 нужна отдельная папка HW14 с ноутбуком, отчетом и подпапкой artifacts. Перед коммитом полезно проверить git status, убедиться, что временные файлы не попали в индекс, а итоговые",35
KB002,Структура репозитория и Git,git,1,"временные файлы не попали в индекс, а итоговые csv сохранены под понятными именами. Нарушенная структура каталога усложняет проверку даже при корректном коде.",22
KB003,Работа с Jupyter Notebook,jupyter,0,"Ноутбук должен выполняться сверху вниз без ручных исправлений между ячейками. Перед сдачей нужно сделать Restart Kernel and Run All. Полезно делить ноутбук на блоки: импорт, загрузка данных, чанкинг, эмбеддинги, retrieval, evaluation, update и mini-RAG. В",35
KB003,Работа с Jupyter Notebook,jupyter,1,"чанкинг, эмбеддинги, retrieval, evaluation, update и mini-RAG. В итоговой версии стоит показать несколько таблиц с результатами, а не только код.",20
KB004,Хранение базы знаний,data,0,"Базу знаний удобно хранить в json или csv, где у каждого документа есть doc_id, title, category и text. Для учебного retrieval достаточно 10-30 документов одной предметной области. Источник должен быть воспроизводимым: либо файлы лежат в",35
KB004,Хранение базы знаний,data,1,"Источник должен быть воспроизводимым: либо файлы лежат в репозитории, либо ноутбук явно создает их из зафиксированного списка. Смешивать документы разных тем нежелательно, потому что retrieval начнет возвращать шумный контекст.",29
KB005,Эмбеддинги документов и запросов,embeddings,0,"Dense retrieval строится на том, что документы и запросы переводятся в векторное пространство. Для русскоязычного корпуса удобно использовать sentence-transformers с мультиязычной моделью. После кодирования полезно нормализовать векторы. Тогда косинусное сходство можно считать через скалярное произведение,",35
KB005,Эмбеддинги документов и запросов,embeddings,1,"Тогда косинусное сходство можно считать через скалярное произведение, а запросы и чанки сравнивать в одной метрике.",16
KB006,Индекс FAISS,faiss,0,"Если векторы уже нормализованы, для базового поиска удобно использовать FAISS IndexFlatIP. Он возвращает top-k объектов с максимальным скалярным произведением. Для учебной домашней работы этого достаточно: не нужен внешний сервис, распределенная база или сложная настройка. Главное",35
KB006,Индекс FAISS,faiss,1,"внешний сервис, распределенная база или сложная настройка. Главное правильно подготовить эмбеддинги и добавить их в индекс.",16
KB007,Метрики качества retrieval,metrics,0,"Retrieval нельзя оценивать только на глаз по двум удачным примерам. Нужно подготовить контрольные запросы и заранее указать, какие документы считаются релевантными. В обязательной части считают хотя бы hit@k и recall@k. Дополнительно полезно считать MRR@k, потому",35
KB007,Метрики качества retrieval,metrics,1,"hit@k и recall@k. Дополнительно полезно считать MRR@k, потому что он показывает, насколько рано встретился первый релевантный источник.",17
KB008,Чанкинг документов,chunking,0,"Перед построением индекса длинные документы разбивают на чанки. Слишком крупные фрагменты смешивают несколько смыслов, а слишком мелкие теряют контекст. Overlap помогает не разрывать важные переходы между соседними частями текста. В учебном проекте достаточно одного воспроизводимого",35
KB008,Чанкинг документов,chunking,1,"частями текста. В учебном проекте достаточно одного воспроизводимого способа чанкинга по словам, но параметры chunk_size и overlap нужно явно объяснить и сравнить хотя бы в одном эксперименте.",27
KB009,Как устроен mini-RAG,rag,0,"Базовый mini-RAG состоит из нескольких шагов: пользователь задает вопрос, retriever ищет top-k релевантных фрагментов, затем эти фрагменты объединяются в контекст, а поверх контекста формируется ответ. Даже простой extractive генератор уже показывает идею RAG. Если retrieval",35
KB009,Как устроен mini-RAG,rag,1,"extractive генератор уже показывает идею RAG. Если retrieval ошибся, генерация тоже обычно страдает.",13
KB010,Артефакты и отчет,submission,0,"В artifacts обязательно сохраняют retrieval_eval.csv, rag_examples.csv и retrieval_before_after_update.csv. В retrieval_eval.csv должны быть query, expected_source, retrieved_sources и hit_at_k. В отчете нужно дать ссылки на файлы из artifacts и кратко описать, что показали retrieval, обновление базы знаний",35
KB010,Артефакты и отчет,submission,1,"кратко описать, что показали retrieval, обновление базы знаний и mini-RAG. Названия разделов в report.md менять нельзя.",16
